N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.8,82,6.5,202,rice
85,58,41,22.0,80,6.2,210,rice
20,30,25,25.0,60,6.8,100,wheat
25,35,20,24.5,58,6.5,110,wheat
10,20,30,28.0,65,7.0,80,maize
15,18,35,27.5,68,6.9,85,maize
95,45,40,21.5,83,6.4,205,rice
22,28,24,24.0,59,6.6,105,wheat
12,22,32,29.0,66,7.1,82,maize
88,40,42,22.3,81,6.3,198,rice
18,25,22,23.8,57,6.7,108,wheat
14,20,34,28.5,67,7.0,84,maize
92,44,41,21.8,84,6.5,208,rice
24,32,26,24.2,60,6.8,112,wheat
16,19,36,27.8,69,7.1,86,maize
89,43,39,22.1,82,6.4,201,rice
21,29,23,24.7,58,6.6,107,wheat
13,21,33,28.2,66,7.0,83,maize
94,46,44,21.2,85,6.3,212,rice
23,31,27,24.3,61,6.7,111,wheat
17,23,37,28.1,68,7.2,87,maize
